Screen Name,Follower Count,Total Tweets,Type
p_crowley,549,725,Expert
BlueberryHillMO,10002,6831,Celebrity
alexisohanian,278081,67190,Celebrity
noblejonesontv,11269,28228,Celebrity
handbuiltcity,1082,4350,Celebrity
kickstartforum,29098,8461,Celebrity
sarahstartups,1347,5863,Celebrity
lifmus,254,1355,Expert
MayorSlay,69535,25316,Celebrity
farmplicity,434,603,Expert
DrMerminCDC,16740,15793,Celebrity
davealevine,7398,67201,Celebrity
rabois,174499,36740,Celebrity
TheSuccessKing,437334,27080,Celebrity
NewYorker,8699951,97808,Celebrity
FastCompany,2334577,226312,Celebrity
sanmayd,172,840,Expert
NASA_Technology,714225,4663,Celebrity
theNASEM,66400,17524,Celebrity
rbpless,766,1256,Expert
mcbridetd,5479,807,Celebrity
jqjp1,2626,2005,Celebrity
CMitchell99,1113,4475,Celebrity
WUSTLEconAC,132,639,Expert
cphsswustl,346,503,Expert
LandLabSTL,552,376,Expert
washufootball,2089,1721,Celebrity
timrand,181,750,Expert
radioaltman,3497,2867,Celebrity
560MusicCenter,68,27,Layman
lgmccarthySTL,547,2811,Expert
GloriaParkBart,292,2303,Expert
WashU_WBB,1427,1091,Celebrity
WUSTLdbbs,1433,3456,Celebrity
ChiefExecBear,7978,25828,Celebrity
KroegerMail,131,176,Expert
UniofOxford,535146,16421,Celebrity
ChelseaClinton,2519846,12991,Celebrity
smithsonian,2653567,20915,Celebrity
ASU,284089,31144,Celebrity
USNewsEducation,303302,54503,Celebrity
SpottedAtWashU,1049,793,Celebrity
washuproblems,1536,312,Celebrity
sahilspatel,499,9301,Expert
gcolditz,1039,1151,Celebrity
susancohen_stl,89,19,Layman
Possibilizer,537,1652,Expert
Nick_Offerman,1766191,7088,Celebrity
HuffPostCollege,128995,49390,Celebrity
AMooreMcBride,731,376,Expert
CtrRelPol,1929,2465,Celebrity
ClintonGlobal,283337,6510,Celebrity
DrLeanaWen,74649,21491,Celebrity
WhitewaterAtty,3552,7753,Celebrity
WUSTLemba,777,159,Expert
OrgStratProf,2664,1445,Celebrity
tadawes,3364,12304,Celebrity
LToddLibrarian,383,5755,Expert
GenomeInstitute,18782,3156,Celebrity
WUArch,113,133,Expert
joechambers,405,569,Expert
SuperTigerLDB,409,1050,Expert
pannill,596,18,Expert
wupad,545,612,Expert
WUSTL_Summer,115,191,Expert
WUSTLPeds,213,113,Expert
YSPwustl,536,802,Expert
BearBucksWUSTL,322,2602,Expert
WASHUSwim,561,906,Expert
WUSTLortho,1866,1192,Celebrity
WustlSAAP,50,39,Layman
WUSTLpubhealth,2050,4982,Celebrity
OlinWCC,1074,1532,Celebrity
WUSTLGlobalHlth,63,18,Layman
